step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.21498,0.96396,,
2,0.50836,0.92308,,
3,0.08052,0.9823,,
4,0.3636,0.90991,,
5,0.14922,0.97458,,
6,0.01425,0.99138,,
7,0.105,0.98198,,
8,0.00281,1.0,,
9,0.10577,0.975,,
10,0.10529,0.984,,
11,0.01882,0.99138,,
12,0.01044,0.99091,,
13,4e-05,1.0,,
14,0.07086,0.97479,,
15,1e-05,1.0,,
16,0.25396,0.94958,,
17,0.04258,0.9918,,
18,0.10045,0.98131,,
19,0.00042,1.0,,
20,0.12919,0.98131,,
21,1e-05,1.0,,
22,0.03633,0.9823,,
23,0.00023,1.0,,
24,0.00092,1.0,,
25,0.00013,1.0,,
26,0.04533,0.99048,,
27,0.15136,0.97391,,
28,0.07288,0.99099,,
29,4e-05,1.0,,
30,0.32051,0.95614,,
31,0.00753,1.0,,
32,0.01589,0.99091,,
33,0.00046,1.0,,
34,0.04635,0.98413,,
35,0.00094,1.0,,
36,0.05961,0.99138,,
37,0.01848,0.9916,,
38,0.01077,1.0,,
39,0.09211,0.9823,,
40,0.00573,1.0,,
41,0.00334,1.0,,
42,0.00568,1.0,,
43,0.0013,1.0,,
44,0.00128,1.0,,
45,0.00098,1.0,,
46,0.12757,0.98214,,
47,0.0023,1.0,,
48,5e-05,1.0,,
49,0.00057,1.0,,
50,0.0456,0.99107,,
51,0.04211,0.99145,,
52,0.00162,1.0,,
53,0.0681,0.99115,,
54,0.07369,0.98214,,
55,3e-05,1.0,,
56,0.38732,0.976,,
57,0.0001,1.0,,
58,0.04986,0.99138,,
59,0.01057,0.99099,,
60,0.00103,1.0,,
61,0.07474,0.99167,,
62,0.10187,0.99074,,
63,0.00278,1.0,,
64,0.00074,1.0,,
65,0.01255,0.99099,,
66,0.01285,1.0,,
67,0.00022,1.0,,
68,0.00119,1.0,,
69,0.0347,0.99091,,
70,0.09185,0.9823,,
71,0.10199,0.99107,,
72,0.11416,0.98246,,
73,0.04105,0.99074,,
74,9e-05,1.0,,
75,0.00255,1.0,,
76,0.00026,1.0,,
77,0.00143,1.0,,
78,0.00287,1.0,,
79,0.02311,0.99123,,
80,0.07452,0.99138,,
81,0.00159,1.0,,
82,0.07683,0.98276,,
83,0.0003,1.0,,
84,0.13754,0.98246,,
85,0.01082,0.99065,,
86,0.01003,0.9916,,
87,0.07387,0.99065,,
88,0.00755,1.0,,
89,0.01105,0.99123,,
90,0.00205,1.0,,
91,0.00365,1.0,,
92,0.00033,1.0,,
93,0.11593,0.97541,,
94,0.00024,1.0,,
95,0.05466,0.99123,,
96,0.0011,1.0,,
97,0.10487,0.97345,,
98,3e-05,1.0,,
99,0.00015,1.0,,
100,1e-05,1.0,0.06402,0.9823
101,0.00016,1.0,,
102,2e-05,1.0,,
103,0.02194,0.99115,,
104,0.04588,0.98214,,
105,0.00016,1.0,,
106,0.03256,0.99138,,
107,3e-05,1.0,,
108,0.12471,0.99074,,
109,2e-05,1.0,,
110,0.10495,0.98261,,
111,2e-05,1.0,,
112,0.00014,1.0,,
113,6e-05,1.0,,
114,0.09325,0.99091,,
115,0.19808,0.98131,,
116,0.00282,1.0,,
117,0.0339,0.99074,,
118,0.10904,0.97436,,
119,4e-05,1.0,,
120,0.01391,0.99074,,
121,0.00069,1.0,,
122,0.00015,1.0,,
123,0.04027,0.98246,,
124,0.02515,0.984,,
125,1e-05,1.0,,
126,0.02203,0.99167,,
127,0.01688,0.99115,,
128,0.08255,0.97436,,
129,0.0556,0.99065,,
130,0.2037,0.97458,,
131,0.08429,0.98276,,
132,0.0003,1.0,,
133,0.07257,0.98291,,
134,0.07342,0.9823,,
135,0.00831,1.0,,
136,0.06449,0.9661,,
137,0.00053,1.0,,
138,0.00044,1.0,,
139,0.0037,1.0,,
140,0.0029,1.0,,
141,0.05433,0.98333,,
142,0.02578,0.98198,,
143,0.00319,1.0,,
144,0.00081,1.0,,
145,0.04305,0.99115,,
146,0.09828,0.98374,,
147,2e-05,1.0,,
148,0.11375,0.9823,,
149,0.00391,1.0,,
150,0.04969,0.98438,,
151,0.00292,1.0,,
152,0.04843,0.98198,,
153,0.01271,0.99074,,
154,0.05839,0.98198,,
155,0.07112,0.99099,,
156,0.00128,1.0,,
157,0.02905,0.99115,,
158,0.11078,0.98291,,
159,0.06502,0.99115,,
160,0.0459,0.99145,,
161,0.03577,0.98276,,
162,0.07353,0.98198,,
163,0.01101,0.99065,,
164,0.00939,0.99123,,
165,0.0038,1.0,,
166,0.01528,0.99138,,
167,0.00267,1.0,,
168,0.00386,1.0,,
169,0.00047,1.0,,
170,0.00921,1.0,,
171,0.04307,0.99074,,
172,0.00014,1.0,,
173,0.03601,0.9913,,
174,0.08341,0.99099,,
175,0.00016,1.0,,
176,0.03743,0.99099,,
177,0.00055,1.0,,
178,0.00013,1.0,,
179,0.04641,0.99123,,
180,0.00263,1.0,,
181,0.00081,1.0,,
182,0.13971,0.98291,,
183,0.04216,0.99138,,
184,0.06572,0.98291,,
185,0.00014,1.0,,
186,0.05487,0.9916,,
187,0.04595,0.99091,,
188,0.01703,0.99115,,
189,0.12406,0.99074,,
190,0.00073,1.0,,
191,0.02077,0.99074,,
192,0.01069,1.0,,
193,0.08277,0.98347,,
194,0.00026,1.0,,
195,0.06638,0.99145,,
196,0.02072,0.9823,,
197,0.03901,0.98305,,
198,0.16707,0.97414,,
199,0.15262,0.9913,,
200,0.00675,0.99091,0.02218,0.98246
201,0.00255,1.0,,
202,0.00376,1.0,,
203,0.05596,0.9823,,
204,0.00011,1.0,,
205,0.04134,0.99091,,
206,0.0009,1.0,,
207,0.00017,1.0,,
208,0.04101,0.99099,,
209,0.02362,0.99074,,
210,1e-05,1.0,,
211,0.01768,0.9916,,
212,0.05371,0.99138,,
213,0.00052,1.0,,
214,0.00017,1.0,,
215,0.00022,1.0,,
216,0.02171,0.9918,,
217,0.0097,0.99065,,
218,0.00058,1.0,,
219,0.00098,1.0,,
220,0.08706,0.99099,,
221,0.00019,1.0,,
222,0.00023,1.0,,
223,0.00014,1.0,,
224,0.00015,1.0,,
225,0.03794,0.98182,,
226,0.00079,1.0,,
227,6e-05,1.0,,
228,3e-05,1.0,,
229,4e-05,1.0,,
230,0.45627,0.95082,,
231,4e-05,1.0,,
232,0.36997,0.97436,,
233,0.13321,0.99065,,
234,0.27892,0.98095,,
235,2e-05,1.0,,
236,0.04122,0.99091,,
237,4e-05,1.0,,
238,0.23551,0.98148,,
239,0.08919,0.99074,,
240,0.08279,0.98131,,
241,0.00738,1.0,,
242,6e-05,1.0,,
243,0.04739,0.98276,,
244,3e-05,1.0,,
245,0.00137,1.0,,
246,0.03177,0.9916,,
247,0.00015,1.0,,
248,2e-05,1.0,,
249,0.07808,0.9823,,
250,2e-05,1.0,,
251,0.07214,0.99153,,
252,0.0147,0.99074,,
253,0.08997,0.9913,,
254,0.0003,1.0,,
255,0.00937,0.99187,,
256,0.00014,1.0,,
257,0.0002,1.0,,
258,0.02001,0.99123,,
259,0.05381,0.98291,,
260,7e-05,1.0,,
261,0.03399,0.97297,,
262,0.00071,1.0,,
263,0.13961,0.98214,,
264,0.00059,1.0,,
265,7e-05,1.0,,
266,0.06714,0.99115,,
267,0.10768,0.98182,,
268,0.02839,0.98261,,
269,0.00433,1.0,,
270,0.00161,1.0,,
271,0.0011,1.0,,
272,4e-05,1.0,,
273,0.11192,0.9913,,
274,9e-05,1.0,,
275,0.06159,0.98291,,
276,8e-05,1.0,,
277,0.1391,0.98276,,
278,0.00014,1.0,,
279,0.00095,1.0,,
280,0.00034,1.0,,
