step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.71864,0.92308,,
2,0.393,0.92537,,
3,1.03419,0.88235,,
4,0.92892,0.8871,,
5,1.00016,0.85294,,
6,0.30605,0.95455,,
7,0.16434,0.96429,,
8,1.4906,0.80328,,
9,0.74282,0.9,,
10,0.86856,0.86667,,
11,0.65317,0.90625,,
12,0.14796,0.92982,,
13,0.70311,0.8806,,
14,0.61387,0.86154,,
15,0.33781,0.96825,,
16,0.82316,0.89394,,
17,0.12743,0.96774,,
18,0.4849,0.88889,,
19,0.29336,0.96552,,
20,0.32344,0.87692,,
21,0.68557,0.81667,,
22,0.29442,0.95161,,
23,0.14624,0.94915,,
24,0.5288,0.87879,,
25,0.22588,0.91304,,
26,0.29487,0.93548,,
27,0.4678,0.86364,,
28,0.24115,0.93651,,
29,0.2085,0.92308,,
30,0.18766,0.92754,,
31,0.14401,0.92857,,
32,0.17568,0.93443,,
33,0.18026,0.95,,
34,0.42744,0.87143,,
35,0.08889,0.98438,,
36,0.08346,0.97059,,
37,0.24443,0.91803,,
38,0.25752,0.9403,,
39,0.06046,0.98592,,
40,0.04482,0.98507,,
41,0.23341,0.93939,,
42,0.07851,0.98438,,
43,0.15524,0.9375,,
44,0.31018,0.92537,,
45,0.61291,0.82812,,
46,0.42502,0.88525,,
47,0.40885,0.90769,,
48,0.04823,0.98507,,
49,0.29786,0.94118,,
50,0.09988,0.98507,,
51,0.13344,0.96721,,
52,0.23602,0.92982,,
53,0.07972,0.96825,,
54,0.21175,0.89286,,
55,0.11792,0.98305,,
56,0.19698,0.96774,,
57,0.10089,0.96552,,
58,0.17689,0.93443,,
59,0.26098,0.92308,,
60,0.17439,0.91935,,
61,0.16558,0.9697,,
62,0.01948,0.98214,,
63,0.15278,0.95588,,
64,0.29565,0.92424,,
65,0.26147,0.94203,,
66,0.20034,0.93333,,
67,0.11811,0.94118,,
68,0.1082,0.97368,,
69,0.0469,1.0,,
70,0.15886,0.98246,,
71,0.02135,1.0,,
72,0.07468,0.9726,,
73,0.07108,0.9697,,
74,0.33165,0.90909,,
75,0.31425,0.89474,,
76,0.23682,0.94737,,
77,0.08775,0.96296,,
78,0.3868,0.90909,,
79,0.14588,0.95385,,
80,0.07874,0.97143,,
81,0.07037,0.96667,,
82,0.15848,0.96552,,
83,0.07206,0.98413,,
84,0.11242,0.96875,,
85,0.15438,0.97101,,
86,0.17528,0.94737,,
87,0.03806,1.0,,
88,0.06353,0.97059,,
89,0.26251,0.91429,,
90,0.02589,1.0,,
91,0.14625,0.96825,,
92,0.32339,0.92188,,
93,0.24065,0.94643,,
94,0.16687,0.93443,,
95,0.1316,0.95455,,
96,0.07709,0.98462,,
97,0.05526,0.98438,,
98,0.21443,0.95238,,
99,0.14835,0.96825,,
100,0.07013,0.98438,0.03885,1.0
101,0.14122,0.94118,,
102,0.09292,0.95652,,
103,0.24133,0.9434,,
